Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,121,0,93000.0,84519.17703140428,53072.92920000327,148416.37980000814,5055.0,0.7782977401646051,0.0,93000,94000,95000,95000,95000,95000,95000,95000,148000,148000,148000
,Aggregated,121,0,93000.0,84519.17703140428,53072.92920000327,148416.37980000814,5055.0,0.7782977401646051,0.0,93000,94000,95000,95000,95000,95000,95000,95000,148000,148000,148000
