timestamp,open,high,low,close,volume,Symbol,{
2023-12-01,190.33,191.56,189.23,191.24,45704823.0,AAPL,
2023-11-30,189.84,190.32,188.19,189.95,48794366.0,AAPL,
2023-11-29,190.9,192.09,188.97,189.37,43014224.0,AAPL,
2023-11-28,189.78,191.08,189.4,190.4,38415419.0,AAPL,
2023-11-27,189.92,190.67,188.9,189.79,40552609.0,AAPL,
2023-11-24,190.87,190.9,189.25,189.97,24048344.0,AAPL,
2023-11-22,191.49,192.93,190.825,191.31,39630011.0,AAPL,
2023-11-21,191.41,191.52,189.74,190.64,38134485.0,AAPL,
2023-11-20,189.89,191.905,189.88,191.45,46538614.0,AAPL,
2023-11-17,190.25,190.38,188.57,189.69,50941404.0,AAPL,
2023-11-16,189.57,190.96,188.65,189.71,54412915.0,AAPL,
2023-11-15,187.845,189.5,187.78,188.01,53790499.0,AAPL,
2023-11-14,187.7,188.11,186.3,187.44,60108378.0,AAPL,
2023-11-13,185.82,186.03,184.21,184.8,43627519.0,AAPL,
2023-11-10,183.97,186.565,183.53,186.4,66177922.0,AAPL,
2023-11-09,182.96,184.12,181.81,182.41,53763540.0,AAPL,
2023-11-08,182.35,183.45,181.59,182.89,49340282.0,AAPL,
2023-11-07,179.18,182.44,178.97,181.82,70529966.0,AAPL,
2023-11-06,176.38,179.43,176.21,179.23,63841310.0,AAPL,
2023-11-03,174.24,176.82,173.35,176.65,79829246.0,AAPL,
2023-11-02,175.52,177.78,175.46,177.57,77334752.0,AAPL,
2023-11-01,171.0,174.23,170.12,173.97,56934906.0,AAPL,
2023-10-31,169.35,170.9,167.9,170.77,44846017.0,AAPL,
2023-10-30,169.02,171.17,168.87,170.29,51130955.0,AAPL,
2023-10-27,166.91,168.96,166.83,168.22,58499129.0,AAPL,
2023-10-26,170.37,171.3775,165.67,166.89,70625258.0,AAPL,
2023-10-25,171.88,173.06,170.65,171.1,57156962.0,AAPL,
2023-10-24,173.05,173.67,171.45,173.44,43816644.0,AAPL,
2023-10-23,170.91,174.01,169.93,173.0,55980109.0,AAPL,
2023-10-20,175.31,175.42,172.64,172.88,64244028.0,AAPL,
2023-10-19,176.04,177.84,175.19,175.46,59302863.0,AAPL,
2023-10-18,175.58,177.575,175.11,175.84,54764375.0,AAPL,
2023-10-17,176.645,178.42,174.8,177.15,57549350.0,AAPL,
2023-10-16,176.75,179.075,176.51,178.72,52516984.0,AAPL,
2023-10-13,181.42,181.93,178.14,178.85,51456082.0,AAPL,
2023-10-12,180.07,182.34,179.04,180.71,56743119.0,AAPL,
2023-10-11,178.2,179.85,177.6,179.8,47551098.0,AAPL,
2023-10-10,178.1,179.72,177.95,178.39,43698019.0,AAPL,
2023-10-09,176.81,179.05,175.8,178.99,42390772.0,AAPL,
2023-10-06,173.8,177.99,173.18,177.49,57266675.0,AAPL,
2023-10-05,173.79,175.45,172.68,174.91,48527918.0,AAPL,
2023-10-04,171.09,174.21,170.97,173.66,53020286.0,AAPL,
2023-10-03,172.255,173.63,170.82,172.4,49594613.0,AAPL,
2023-10-02,171.22,174.3,170.93,173.75,52164535.0,AAPL,
2023-09-29,172.02,173.07,170.341,171.21,51861083.0,AAPL,
2023-09-28,169.34,172.03,167.62,170.69,56294419.0,AAPL,
2023-09-27,172.62,173.04,169.05,170.43,66921808.0,AAPL,
2023-09-26,174.82,175.2,171.66,171.96,64588945.0,AAPL,
2023-09-25,174.2,176.97,174.15,176.08,46172740.0,AAPL,
2023-09-22,174.67,177.079,174.05,174.79,56725385.0,AAPL,
2023-09-21,174.55,176.3,173.86,173.93,63149116.0,AAPL,
2023-09-20,179.26,179.695,175.4,175.49,58436181.0,AAPL,
2023-09-19,177.52,179.63,177.13,179.07,51826941.0,AAPL,
2023-09-18,176.48,179.38,176.17,177.97,67257573.0,AAPL,
2023-09-15,176.48,176.495,173.82,175.01,109259461.0,AAPL,
2023-09-14,174.0,176.1,173.58,175.74,60895757.0,AAPL,
2023-09-13,176.51,177.3,173.98,174.21,84267928.0,AAPL,
2023-09-12,179.49,180.13,174.82,176.3,90370192.0,AAPL,
2023-09-11,180.07,180.3,177.34,179.36,58953052.0,AAPL,
2023-09-08,178.35,180.239,177.79,178.18,65602066.0,AAPL,
2023-09-07,175.18,178.21,173.54,177.56,112488803.0,AAPL,
2023-09-06,188.4,188.85,181.47,182.91,81755816.0,AAPL,
2023-09-05,188.28,189.98,187.61,189.7,45280027.0,AAPL,
2023-09-01,189.485,189.92,188.28,189.46,45766503.0,AAPL,
2023-08-31,187.84,189.12,187.48,187.87,60794467.0,AAPL,
2023-08-30,184.94,187.85,184.74,187.65,60813888.0,AAPL,
2023-08-29,179.695,184.9,179.5,184.12,53003948.0,AAPL,
2023-08-28,180.09,180.59,178.545,180.19,43820697.0,AAPL,
2023-08-25,177.38,179.15,175.82,178.61,51449594.0,AAPL,
2023-08-24,180.674,181.104,176.01,176.38,54945798.0,AAPL,
2023-08-23,178.52,181.55,178.325,181.12,52722752.0,AAPL,
2023-08-22,177.06,177.68,176.25,177.23,42084245.0,AAPL,
2023-08-21,175.07,176.13,173.735,175.84,46311879.0,AAPL,
2023-08-18,172.3,175.1,171.96,174.49,61172150.0,AAPL,
2023-08-17,177.14,177.5054,173.48,174.0,66062882.0,AAPL,
2023-08-16,177.13,178.54,176.5,176.57,46964857.0,AAPL,
2023-08-15,178.88,179.48,177.05,177.45,43622593.0,AAPL,
2023-08-14,177.97,179.69,177.305,179.46,43675627.0,AAPL,
2023-08-11,177.32,178.62,176.55,177.79,52036672.0,AAPL,
2023-08-10,179.48,180.75,177.6,177.97,54686851.0,AAPL,
2023-08-09,180.87,180.93,177.01,178.19,60378492.0,AAPL,
2023-08-08,179.69,180.27,177.58,179.8,67823003.0,AAPL,
2023-08-07,182.13,183.13,177.35,178.85,97576069.0,AAPL,
2023-08-04,185.52,187.38,181.92,181.99,115956841.0,AAPL,
2023-08-03,191.57,192.37,190.69,191.17,62243282.0,AAPL,
2023-08-02,195.04,195.18,191.8507,192.58,50389327.0,AAPL,
2023-08-01,196.235,196.73,195.28,195.605,35281426.0,AAPL,
2023-07-31,196.06,196.49,195.26,196.45,38824113.0,AAPL,
2023-07-28,194.67,196.626,194.14,195.83,48291443.0,AAPL,
2023-07-27,196.02,197.2,192.55,193.22,47460180.0,AAPL,
2023-07-26,193.67,195.64,193.32,194.5,47471868.0,AAPL,
2023-07-25,193.33,194.44,192.915,193.62,37283201.0,AAPL,
2023-07-24,193.41,194.91,192.25,192.75,45505097.0,AAPL,
2023-07-21,194.1,194.97,191.23,191.94,71951683.0,AAPL,
2023-07-20,195.09,196.47,192.495,193.13,59581196.0,AAPL,
2023-07-19,193.1,198.23,192.65,195.1,80507323.0,AAPL,
2023-07-18,193.35,194.33,192.415,193.73,48353774.0,AAPL,
2023-07-17,191.9,194.32,191.81,193.99,50520159.0,AAPL,
2023-07-14,190.23,191.1799,189.63,190.69,41616242.0,AAPL,
2023-07-13,190.5,191.19,189.78,190.54,41342338.0,AAPL,
2023-12-01,376.76,378.16,371.31,374.51,33040472.0,MSFT,
2023-11-30,378.49,380.09,375.47,378.91,30554415.0,MSFT,
2023-11-29,383.76,384.3,377.44,378.85,28963399.0,MSFT,
2023-11-28,378.35,383.0,378.16,382.7,20453112.0,MSFT,
2023-11-27,376.78,380.64,376.2,378.61,22179228.0,MSFT,
2023-11-24,377.33,377.97,375.135,377.43,10176649.0,MSFT,
2023-11-22,378.0,379.7899,374.965,377.85,23361184.0,MSFT,
2023-11-21,375.67,376.2215,371.12,373.07,28423145.0,MSFT,
2023-11-20,371.22,378.87,371.0,377.44,52528964.0,MSFT,
2023-11-17,373.61,374.37,367.0,369.85,40325371.0,MSFT,
2023-11-16,370.96,376.35,370.18,376.17,27182315.0,MSFT,
2023-11-15,371.28,373.13,367.11,369.67,26860095.0,MSFT,
2023-11-14,371.01,371.95,367.3454,370.27,27683862.0,MSFT,
2023-11-13,368.22,368.47,365.9,366.68,19986506.0,MSFT,
